ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,label
-0.83,-0.094,-0.518,49.988,55.359,-22.4,-149.584,43.193,-84.177,climbing
-0.83,-0.146,-0.476,23.682,46.265,-25.269,-149.453,42.709,-84.051,climbing
-0.853,-0.146,-0.476,23.682,46.265,-25.269,-149.326,42.231,-83.93,climbing
-0.853,-0.25,-0.434,-4.272,27.283,-26.978,-149.376,41.913,-83.655,climbing
-0.905,-0.25,-0.434,-4.272,27.283,-26.978,-149.425,41.605,-83.386,climbing
-0.905,-0.332,-0.512,-28.442,4.639,-27.588,-149.595,41.495,-82.952,climbing
-0.953,-0.332,-0.512,-28.442,4.639,-27.588,-149.76,41.385,-82.524,climbing
-0.953,-0.243,-0.683,-62.073,-31.738,-32.471,-150.057,41.567,-81.793,climbing
-0.911,-0.243,-0.683,-62.073,-31.738,-32.471,-150.353,41.748,-81.063,climbing
-0.911,-0.047,-0.908,-95.337,-73.914,-47.852,-150.667,42.072,-80.096,climbing
-0.814,-0.047,-0.908,-95.337,-73.914,-47.852,-150.985,42.539,-78.898,climbing
-0.814,0.158,-0.992,-112.671,-97.29,-69.031,-151.26,43.044,-77.492,climbing
-0.679,0.158,-0.992,-112.671,-97.29,-69.031,-151.479,43.599,-75.866,climbing
-0.679,0.367,-1.058,-120.544,-114.563,-80.078,-151.65,44.193,-74.114,climbing
-0.475,0.367,-1.058,-120.544,-114.563,-80.078,-151.765,44.819,-72.219,climbing
-0.475,0.503,-1.219,-130.432,-127.869,-68.42,-151.946,45.516,-70.34,climbing
-0.288,0.503,-1.219,-130.432,-127.869,-68.42,-152.183,46.285,-68.478,climbing
-0.288,0.398,-1.173,-143.555,-115.906,-51.758,-152.584,47.021,-66.764,climbing
-0.267,0.398,-1.173,-143.555,-115.906,-51.758,-153.144,47.736,-65.198,climbing
-0.267,0.014,-1.014,-150.208,-91.98,-46.692,-153.809,48.345,-63.754,climbing
-0.384,0.014,-1.014,-150.208,-91.98,-46.692,-154.578,48.856,-62.424,climbing
-0.384,-0.331,-0.896,-138.611,-73.12,-56.213,-155.27,49.268,-61.1,climbing
-0.518,-0.331,-0.896,-138.611,-73.12,-56.213,-155.869,49.576,-59.771,climbing
-0.518,-0.538,-0.739,-102.539,-62.317,-69.031,-156.22,49.818,-58.387,climbing
-0.547,-0.538,-0.739,-102.539,-62.317,-69.031,-156.324,49.988,-56.937,climbing
-0.547,-0.641,-0.584,-54.565,-61.951,-68.542,-156.16,50.158,-55.486,climbing
-0.475,-0.641,-0.584,-54.565,-61.951,-68.542,-155.726,50.328,-54.031,climbing
-0.475,-0.677,-0.451,-5.615,-52.368,-48.218,-155.154,50.499,-52.74,climbing
-0.47,-0.677,-0.451,-5.615,-52.368,-48.218,-154.446,50.658,-51.619,climbing
-0.47,-0.657,-0.32,44.434,-31.982,-20.325,-153.671,50.779,-50.751,climbing
-0.558,-0.657,-0.32,44.434,-31.982,-20.325,-152.825,50.872,-50.147,climbing
-0.558,-0.542,-0.252,88.562,-20.691,3.418,-151.902,50.971,-49.746,climbing
-0.737,-0.542,-0.252,88.562,-20.691,3.418,-150.903,51.081,-49.543,climbing
-0.737,-0.359,-0.346,122.803,-13.611,27.954,-149.875,51.224,-49.537,climbing
-0.854,-0.359,-0.346,122.803,-13.611,27.954,-148.832,51.411,-49.724,climbing
-0.854,-0.202,-0.551,130.371,-11.963,62.988,-147.942,51.696,-50.147,climbing
-0.686,-0.202,-0.551,130.371,-11.963,62.988,-147.222,52.075,-50.823,climbing
-0.686,-0.148,-0.684,104.797,-12.756,89.417,-146.788,52.542,-51.674,climbing
-0.5,-0.148,-0.684,104.797,-12.756,89.417,-146.646,53.086,-52.712,climbing
-0.5,-0.108,-0.661,65.979,-3.479,83.313,-146.728,53.569,-53.767,climbing
-0.485,-0.108,-0.661,65.979,-3.479,83.313,-147.03,53.987,-54.833,climbing
-0.485,-0.023,-0.461,39.429,13.55,57.617,-147.409,54.256,-55.811,climbing
-0.677,-0.023,-0.461,39.429,13.55,57.617,-147.843,54.382,-56.689,climbing
-0.677,0.003,-0.29,29.175,35.034,34.485,-148.282,54.355,-57.508,climbing
-0.865,0.003,-0.29,29.175,35.034,34.485,-148.716,54.185,-58.244,climbing
-0.865,0.032,-0.431,25.574,33.203,26.978,-149.123,54.009,-58.914,climbing
-0.859,0.032,-0.431,25.574,33.203,26.978,-149.496,53.833,-59.518,climbing
-0.859,0.089,-0.709,6.714,20.203,37.598,-149.985,53.745,-60.139,climbing
-0.817,0.089,-0.709,6.714,20.203,37.598,-150.606,53.734,-60.782,climbing
-0.817,0.09,-0.566,-24.78,6.592,20.813,-151.243,53.74,-61.243,climbing
-0.827,0.09,-0.566,-24.78,6.592,20.813,-151.902,53.762,-61.529,climbing
-0.827,-0.061,-0.127,-28.137,21.79,-24.78,-152.358,53.619,-61.534,climbing
-1.041,-0.061,-0.127,-28.137,21.79,-24.78,-152.6,53.311,-61.254,climbing
-1.041,-0.021,-0.212,-15.442,46.875,-49.438,-152.704,52.861,-60.881,climbing
-1.083,-0.021,-0.212,-15.442,46.875,-49.438,-152.682,52.256,-60.425,climbing
-1.083,-0.061,-0.522,-15.076,33.691,-41.321,-152.672,51.74,-59.98,climbing
-0.938,-0.061,-0.522,-15.076,33.691,-41.321,-152.672,51.306,-59.546,climbing
-0.938,-0.253,-0.607,-27.344,13.062,-22.095,-152.781,51.01,-59.172,climbing
-0.774,-0.253,-0.607,-27.344,13.062,-22.095,-152.99,50.845,-58.859,climbing
-0.774,-0.378,-0.588,-24.353,6.592,-2.808,-153.259,50.751,-58.661,climbing
-0.753,-0.378,-0.588,-24.353,6.592,-2.808,-153.578,50.729,-58.579,climbing
-0.753,-0.388,-0.603,-9.521,10.559,14.954,-153.918,50.718,-58.64,climbing
-0.778,-0.388,-0.603,-9.521,10.559,14.954,-154.281,50.729,-58.837,climbing
-0.778,-0.358,-0.639,6.226,5.554,27.405,-154.611,50.779,-59.106,climbing
-0.788,-0.358,-0.639,6.226,5.554,27.405,-154.902,50.867,-59.453,climbing
-0.788,-0.347,-0.628,19.043,-1.282,37.292,-155.165,51.004,-59.848,climbing
-0.767,-0.347,-0.628,19.043,-1.282,37.292,-155.402,51.191,-60.298,climbing
-0.767,-0.357,-0.595,29.236,-6.042,46.753,-155.621,51.411,-60.798,climbing
-0.752,-0.357,-0.595,29.236,-6.042,46.753,-155.83,51.663,-61.359,climbing
-0.752,-0.411,-0.577,39.001,-4.272,57.068,-156.055,51.921,-62.012,climbing
-0.746,-0.411,-0.577,39.001,-4.272,57.068,-156.297,52.191,-62.748,climbing
-0.746,-0.478,-0.537,48.218,1.16,68.054,-156.566,52.454,-63.589,climbing
-0.767,-0.478,-0.537,48.218,1.16,68.054,-156.868,52.701,-64.539,climbing
-0.767,-0.53,-0.468,56.641,9.949,78.247,-157.209,52.927,-65.599,climbing
-0.75,-0.53,-0.468,56.641,9.949,78.247,-157.588,53.124,-66.78,climbing
-0.75,-0.507,-0.412,67.139,18.25,93.567,-158.022,53.3,-68.104,climbing
-0.699,-0.507,-0.412,67.139,18.25,93.567,-158.522,53.465,-69.582,climbing
-0.699,-0.386,-0.439,74.829,27.161,112.488,-159.12,53.613,-71.246,climbing
-0.658,-0.386,-0.439,74.829,27.161,112.488,-159.824,53.74,-73.087,climbing
-0.658,-0.187,-0.54,77.82,31.311,121.826,-160.587,53.849,-75.026,climbing
-0.636,-0.187,-0.54,77.82,31.311,121.826,-161.417,53.932,-77.053,climbing
-0.636,-0.002,-0.573,74.951,34.058,116.028,-162.241,53.981,-79.047,climbing
-0.706,-0.002,-0.573,74.951,34.058,116.028,-163.065,53.987,-81.008,climbing
-0.706,0.09,-0.563,65.247,38.879,100.769,-163.856,53.932,-82.848,climbing
-0.779,0.09,-0.563,65.247,38.879,100.769,-164.619,53.817,-84.578,climbing
-0.779,0.069,-0.557,51.758,37.537,80.566,-165.322,53.674,-86.127,climbing
-0.78,0.069,-0.557,51.758,37.537,80.566,-165.954,53.503,-87.506,climbing
-0.78,0.021,-0.581,39.429,38.147,63.843,-166.547,53.306,-88.742,climbing
-0.769,0.021,-0.581,39.429,38.147,63.843,-167.091,53.08,-89.835,climbing
-0.769,-0.02,-0.602,30.396,43.152,56.274,-167.629,52.817,-90.862,climbing
-0.75,-0.02,-0.602,30.396,43.152,56.274,-168.168,52.515,-91.829,climbing
-0.75,-0.038,-0.576,23.682,48.096,55.664,-168.728,52.18,-92.791,climbing
-0.746,-0.038,-0.576,23.682,48.096,55.664,-169.316,51.817,-93.735,climbing
-0.746,-0.032,-0.556,18.433,51.331,54.626,-169.909,51.438,-94.669,climbing
-0.737,-0.032,-0.556,18.433,51.331,54.626,-170.508,51.031,-95.581,climbing
-0.737,-0.025,-0.599,17.212,52.612,49.927,-171.068,50.62,-96.443,climbing
-0.737,-0.025,-0.599,17.212,52.612,49.927,-171.595,50.186,-97.262,climbing
-0.74,-0.025,-0.599,17.212,52.612,49.927,-172.112,49.752,-98.064,climbing
-0.74,-0.017,-0.676,19.043,54.504,42.603,-172.507,49.285,-98.74,climbing
-0.773,-0.017,-0.676,19.043,54.504,42.603,-172.892,48.812,-99.41,climbing
-0.773,-0.006,-0.685,20.142,50.781,35.217,-173.172,48.367,-99.948,climbing
-0.73,-0.006,-0.685,20.142,50.781,35.217,-173.441,47.922,-100.481,climbing
-0.73,-0.016,-0.691,24.414,45.776,29.846,-173.589,47.516,-100.92,climbing
-0.698,-0.016,-0.691,24.414,45.776,29.846,-173.738,47.115,-101.349,climbing
-0.698,-0.059,-0.729,35.034,44.983,26.184,-173.738,46.708,-101.722,climbing
-0.673,-0.059,-0.729,35.034,44.983,26.184,-173.727,46.307,-102.096,climbing
-0.673,-0.092,-0.754,49.255,44.25,25.269,-173.557,45.906,-102.448,climbing
-0.624,-0.092,-0.754,49.255,44.25,25.269,-173.386,45.505,-102.799,climbing
-0.624,-0.065,-0.786,61.768,46.997,28.076,-173.123,45.082,-103.2,climbing
-0.597,-0.065,-0.786,61.768,46.997,28.076,-172.853,44.654,-103.596,climbing
-0.597,0.01,-0.821,70.007,53.406,37.231,-172.601,44.176,-104.128,climbing
-0.631,0.01,-0.821,70.007,53.406,37.231,-172.348,43.693,-104.656,climbing
-0.631,0.133,-0.861,67.993,59.448,53.223,-172.271,43.176,-105.414,climbing
-0.657,0.133,-0.861,67.993,59.448,53.223,-172.194,42.654,-106.166,climbing
-0.657,0.236,-0.869,50.415,58.594,70.313,-172.447,42.16,-107.139,climbing
-0.592,0.236,-0.869,50.415,58.594,70.313,-172.694,41.666,-108.1,climbing
-0.592,0.162,-0.778,31.311,56.519,71.96,-173.134,41.188,-109.067,climbing
-0.521,0.162,-0.778,31.311,56.519,71.96,-173.562,40.704,-110.017,climbing
-0.521,0.017,-0.599,27.71,72.51,59.753,-173.919,40.045,-110.825,climbing
-0.55,0.017,-0.599,27.71,72.51,59.753,-174.26,39.386,-111.61,climbing
-0.55,-0.061,-0.556,36.438,83.191,55.115,-174.457,38.617,-112.341,climbing
-0.566,-0.061,-0.556,36.438,83.191,55.115,-174.639,37.859,-113.06,climbing
-0.566,-0.105,-0.698,49.011,88.623,57.495,-174.694,37.046,-113.807,climbing
-0.573,-0.105,-0.698,49.011,88.623,57.495,-174.727,36.244,-114.538,climbing
-0.573,-0.064,-0.792,65.918,99.792,57.129,-174.578,35.327,-115.274,climbing
-0.641,-0.064,-0.792,65.918,99.792,57.129,-174.419,34.42,-116.005,climbing
-0.641,0.058,-0.822,74.219,131.958,57.922,-174.188,33.201,-116.779,climbing
-0.743,0.058,-0.822,74.219,131.958,57.922,-173.941,31.987,-117.543,climbing
-0.743,0.121,-0.748,74.158,147.156,52.307,-173.661,30.63,-118.257,climbing
-0.675,0.121,-0.748,74.158,147.156,52.307,-173.37,29.284,-118.965,climbing
-0.675,0.106,-0.786,59.387,153.381,42.603,-173.167,27.883,-119.57,climbing
-0.671,0.106,-0.786,59.387,153.381,42.603,-172.952,26.483,-120.168,climbing
-0.671,0.025,-0.909,39.063,139.465,25.452,-172.837,25.214,-120.553,climbing
-0.655,0.025,-0.909,39.063,139.465,25.452,-172.711,23.95,-120.938,climbing
-0.655,-0.013,-1.033,20.142,108.398,11.719,-172.683,22.978,-121.124,climbing
-0.562,-0.013,-1.033,20.142,108.398,11.719,-172.656,22.006,-121.311,climbing
-0.562,-0.056,-1.117,2.869,70.618,12.878,-172.771,21.407,-121.459,climbing
-0.456,-0.056,-1.117,2.869,70.618,12.878,-172.886,20.808,-121.602,climbing
-0.456,-0.121,-1.24,-13.367,44.434,18.799,-173.161,20.468,-121.772,climbing
-0.453,-0.121,-1.24,-13.367,44.434,18.799,-173.425,20.116,-121.937,climbing
-0.453,-0.089,-1.522,-37.109,28.503,28.564,-173.952,19.929,-122.19,climbing
-0.642,-0.089,-1.522,-37.109,28.503,28.564,-174.468,19.726,-122.437,climbing
-0.642,-0.042,-1.614,-35.889,18.616,52.612,-175.045,19.633,-122.926,climbing
-0.845,-0.042,-1.614,-35.889,18.616,52.612,-175.622,19.534,-123.42,climbing
-0.845,-0.133,-1.562,-9.155,2.563,62.744,-175.957,19.594,-124.003,climbing
-0.815,-0.133,-1.562,-9.155,2.563,62.744,-176.287,19.655,-124.585,climbing
