ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,label
0.066,0.202,-0.983,-2.136,-0.977,1.77,167.964,-3.752,13.228,lying
0.066,0.204,-0.983,-1.953,-0.793,2.136,167.948,-3.746,13.206,lying
0.064,0.204,-0.983,-1.953,-0.793,2.136,167.937,-3.746,13.184,lying
0.064,0.204,-0.983,-1.831,-0.854,2.38,167.921,-3.741,13.156,lying
0.063,0.204,-0.983,-1.831,-0.854,2.38,167.91,-3.735,13.134,lying
0.063,0.206,-0.983,-1.892,-1.038,2.441,167.893,-3.73,13.107,lying
0.061,0.206,-0.983,-1.892,-1.038,2.441,167.882,-3.724,13.079,lying
0.061,0.209,-0.983,-2.136,-1.221,2.319,167.866,-3.719,13.052,lying
0.063,0.209,-0.983,-2.136,-1.221,2.319,167.849,-3.708,13.03,lying
0.063,0.208,-0.982,-2.197,-1.16,2.075,167.827,-3.702,13.002,lying
0.064,0.208,-0.982,-2.197,-1.16,2.075,167.811,-3.697,12.98,lying
0.064,0.208,-0.982,-2.258,-0.61,1.831,167.794,-3.691,12.964,lying
0.06,0.208,-0.982,-2.258,-0.61,1.831,167.772,-3.691,12.942,lying
0.06,0.208,-0.984,-2.197,-0.671,1.709,167.756,-3.686,12.925,lying
0.059,0.208,-0.984,-2.197,-0.671,1.709,167.739,-3.686,12.903,lying
0.059,0.208,-0.985,-1.953,-0.916,1.526,167.723,-3.675,12.887,lying
0.059,0.208,-0.985,-1.953,-0.916,1.526,167.706,-3.669,12.87,lying
0.059,0.208,-0.985,-1.587,-1.038,1.343,167.695,-3.664,12.854,lying
0.058,0.208,-0.985,-1.587,-1.038,1.343,167.684,-3.653,12.843,lying
0.058,0.208,-0.984,-1.343,-1.221,1.282,167.673,-3.642,12.827,lying
0.057,0.208,-0.984,-1.343,-1.221,1.282,167.662,-3.636,12.81,lying
0.057,0.208,-0.983,-1.343,-1.709,1.221,167.651,-3.62,12.794,lying
0.063,0.208,-0.983,-1.343,-1.709,1.221,167.646,-3.604,12.777,lying
0.063,0.207,-0.979,-1.282,-1.343,1.038,167.635,-3.593,12.766,lying
0.062,0.207,-0.979,-1.282,-1.343,1.038,167.624,-3.582,12.75,lying
0.062,0.208,-0.978,-0.977,-0.549,0.854,167.618,-3.576,12.739,lying
0.06,0.208,-0.978,-0.977,-0.549,0.854,167.613,-3.571,12.733,lying
0.06,0.206,-0.979,-0.671,0.061,0.732,167.607,-3.576,12.722,lying
0.058,0.206,-0.979,-0.671,0.061,0.732,167.607,-3.576,12.717,lying
0.058,0.205,-0.978,0,0.244,0.916,167.613,-3.582,12.706,lying
0.055,0.205,-0.978,0,0.244,0.916,167.613,-3.582,12.7,lying
0.055,0.202,-0.978,1.038,0.244,0.793,167.629,-3.587,12.695,lying
0.063,0.202,-0.978,1.038,0.244,0.793,167.64,-3.587,12.684,lying
0.063,0.205,-0.974,1.526,1.099,0.916,167.662,-3.598,12.678,lying
0.059,0.205,-0.974,1.526,1.099,0.916,167.679,-3.615,12.673,lying
0.059,0.212,-0.97,1.465,1.953,1.282,167.695,-3.631,12.662,lying
0.061,0.212,-0.97,1.465,1.953,1.282,167.712,-3.653,12.651,lying
0.061,0.211,-0.975,1.77,2.563,1.343,167.734,-3.68,12.645,lying
0.062,0.211,-0.975,1.77,2.563,1.343,167.756,-3.708,12.64,lying
0.062,0.208,-0.98,1.953,2.747,1.221,167.772,-3.735,12.629,lying
0.063,0.208,-0.98,1.953,2.747,1.221,167.794,-3.763,12.623,lying
0.063,0.21,-0.986,1.709,3.052,0.61,167.816,-3.79,12.623,lying
0.063,0.21,-0.986,1.709,3.052,0.61,167.833,-3.818,12.623,lying
0.063,0.209,-0.991,2.075,2.808,-0.305,167.855,-3.845,12.634,lying
0.064,0.209,-0.991,2.075,2.808,-0.305,167.877,-3.867,12.645,lying
0.064,0.205,-0.991,3.052,1.77,-1.221,167.904,-3.878,12.656,lying
0.066,0.205,-0.991,3.052,1.77,-1.221,167.937,-3.895,12.673,lying
0.066,0.2,-0.987,3.967,0.732,-2.075,167.975,-3.895,12.695,lying
0.063,0.2,-0.987,3.967,0.732,-2.075,168.014,-3.895,12.717,lying
0.063,0.2,-0.985,4.456,0.366,-2.625,168.058,-3.889,12.744,lying
0.064,0.2,-0.985,4.456,0.366,-2.625,168.102,-3.889,12.772,lying
0.064,0.199,-0.986,4.822,0.366,-2.747,168.146,-3.884,12.799,lying
0.066,0.199,-0.986,4.822,0.366,-2.747,168.195,-3.878,12.827,lying
0.066,0.203,-0.981,4.7,0.61,-2.197,168.239,-3.878,12.849,lying
0.067,0.203,-0.981,4.7,0.61,-2.197,168.283,-3.878,12.87,lying
0.067,0.2,-0.98,4.15,1.099,-1.404,168.327,-3.884,12.887,lying
0.065,0.2,-0.98,4.15,1.099,-1.404,168.365,-3.895,12.903,lying
0.065,0.199,-0.982,3.967,1.404,-0.732,168.404,-3.906,12.909,lying
