ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,label
-0.215,-0.066,-0.958,-24.414,59.937,-35.767,-177.347,14.024,21.495,running
-0.182,-0.066,-0.958,-24.414,59.937,-35.767,-177.517,13.431,21.835,running
-0.182,-0.13,-1.022,-20.63,62.256,-36.072,-177.643,12.821,22.181,running
-0.148,-0.13,-1.022,-20.63,62.256,-36.072,-177.775,12.206,22.527,running
-0.148,-0.23,-1.051,-9.46,69.885,-40.344,-177.781,11.519,22.917,running
-0.082,-0.23,-1.051,-9.46,69.885,-40.344,-177.786,10.827,23.302,running
-0.082,-0.268,-0.899,4.272,83.252,-45.654,-177.643,9.998,23.73,running
-0.018,-0.268,-0.899,4.272,83.252,-45.654,-177.506,9.168,24.159,running
-0.018,-0.274,-0.804,14.221,98.389,-43.152,-177.275,8.19,24.549,running
-0.048,-0.274,-0.804,14.221,98.389,-43.152,-177.045,7.207,24.933,running
-0.048,-0.229,-0.825,17.212,105.53,-37.537,-176.797,6.158,25.252,running
-0.067,-0.229,-0.825,17.212,105.53,-37.537,-176.556,5.109,25.565,running
-0.067,-0.2,-0.898,20.02,104.492,-36.499,-176.292,4.07,25.862,running
-0.079,-0.2,-0.898,20.02,104.492,-36.499,-176.034,3.038,26.153,running
-0.079,-0.125,-0.979,18.433,96.069,-37.415,-175.798,2.087,26.455,running
-0.035,-0.125,-0.979,18.433,96.069,-37.415,-175.567,1.143,26.752,running
-0.035,0.003,-1.034,9.338,83.923,-41.077,-175.397,0.258,27.065,running
0.039,0.003,-1.034,9.338,83.923,-41.077,-175.281,-0.566,27.4,running
0.039,0.135,-1.058,-5.066,81.482,-49.316,-175.248,-1.379,27.779,running
0.065,0.135,-1.058,-5.066,81.482,-49.316,-175.309,-2.186,28.196,running
0.065,0.191,-1.073,-23.438,83.252,-58.411,-175.474,-3.01,28.663,running
0.085,0.191,-1.073,-23.438,83.252,-58.411,-175.748,-3.84,29.18,running
0.085,0.118,-1.063,-39.978,82.764,-66.711,-176.122,-4.664,29.74,running
0.098,0.118,-1.063,-39.978,82.764,-66.711,-176.594,-5.488,30.355,running
0.098,-0.022,-1.044,-48.645,78.369,-70.984,-177.122,-6.284,30.998,running
0.135,-0.022,-1.044,-48.645,78.369,-70.984,-177.698,-7.053,31.674,running
0.135,-0.117,-1.076,-52.063,67.017,-71.228,-178.297,-7.762,32.36,running
0.177,-0.117,-1.076,-52.063,67.017,-71.228,-178.918,-8.405,33.063,running
0.177,-0.137,-1.117,-46.448,59.631,-67.871,-179.511,-8.998,33.75,running
0.2,-0.137,-1.117,-46.448,59.631,-67.871,179.923,-9.553,34.431,running
0.2,-0.105,-1.142,-32.837,53.772,-62.744,179.429,-10.074,35.096,running
0.217,-0.105,-1.142,-32.837,53.772,-62.744,179.011,-10.563,35.733,running
0.217,-0.057,-1.142,-19.409,49.561,-59.448,178.66,-11.03,36.359,running
0.244,-0.057,-1.142,-19.409,49.561,-59.448,178.374,-11.47,36.974,running
0.244,-0.039,-1.113,-6.348,47.974,-55.664,178.149,-11.904,37.568,running
0.274,-0.039,-1.113,-6.348,47.974,-55.664,177.995,-12.332,38.15,running
0.274,0.014,-1.051,-0.244,44.128,-46.326,177.874,-12.739,38.683,running
0.273,0.014,-1.051,-0.244,44.128,-46.326,177.792,-13.129,39.166,running
