ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,label
-0.77,0.084,-0.623,-3.601,-17.09,-1.099,169.871,50.383,67.467,sitting
-0.77,0.08,-0.61,-2.93,-14.587,-1.099,169.827,50.532,67.44,sitting
-0.771,0.08,-0.61,-2.93,-14.587,-1.099,169.794,50.669,67.418,sitting
-0.771,0.079,-0.616,-1.831,-12.817,-0.793,169.761,50.795,67.396,sitting
-0.776,0.079,-0.616,-1.831,-12.817,-0.793,169.739,50.911,67.374,sitting
-0.776,0.083,-0.607,-1.221,-11.658,0.427,169.711,51.026,67.341,sitting
-0.777,0.083,-0.607,-1.221,-11.658,0.427,169.684,51.13,67.302,sitting
-0.777,0.088,-0.59,-0.488,-10.925,1.343,169.651,51.235,67.253,sitting
-0.775,0.088,-0.59,-0.488,-10.925,1.343,169.618,51.334,67.203,sitting
-0.775,0.091,-0.592,0.244,-9.644,1.282,169.596,51.427,67.154,sitting
-0.784,0.091,-0.592,0.244,-9.644,1.282,169.574,51.515,67.104,sitting
-0.784,0.09,-0.596,1.099,-7.813,0.122,169.563,51.592,67.072,sitting
-0.798,0.09,-0.596,1.099,-7.813,0.122,169.568,51.663,67.044,sitting
-0.798,0.091,-0.595,0.732,-7.08,-0.122,169.574,51.735,67.028,sitting
-0.799,0.091,-0.595,0.732,-7.08,-0.122,169.579,51.801,67.006,sitting
-0.799,0.092,-0.596,-0.366,-6.348,-0.366,169.579,51.866,66.995,sitting
-0.813,0.092,-0.596,-0.366,-6.348,-0.366,169.579,51.927,66.978,sitting
-0.813,0.099,-0.589,-1.526,-6.348,-1.526,169.579,51.987,66.978,sitting
-0.802,0.099,-0.589,-1.526,-6.348,-1.526,169.579,52.053,66.984,sitting
-0.802,0.112,-0.558,-2.625,-5.432,-2.808,169.579,52.114,67.0,sitting
-0.803,0.112,-0.558,-2.625,-5.432,-2.808,169.585,52.174,67.033,sitting
-0.803,0.116,-0.571,-4.395,-2.441,-4.395,169.596,52.224,67.077,sitting
-0.808,0.116,-0.571,-4.395,-2.441,-4.395,169.607,52.256,67.143,sitting
-0.808,0.104,-0.602,-5.676,-2.258,-5.554,169.618,52.295,67.214,sitting
-0.814,0.104,-0.602,-5.676,-2.258,-5.554,169.634,52.328,67.302,sitting
-0.814,0.094,-0.602,-5.554,-2.747,-6.714,169.656,52.366,67.39,sitting
-0.795,0.094,-0.602,-5.554,-2.747,-6.714,169.684,52.41,67.495,sitting
-0.795,0.096,-0.594,-4.7,-3.967,-5.859,169.711,52.454,67.582,sitting
-0.786,0.096,-0.594,-4.7,-3.967,-5.859,169.733,52.509,67.67,sitting
-0.786,0.097,-0.606,-2.93,-3.662,-2.625,169.744,52.559,67.725,sitting
-0.787,0.097,-0.606,-2.93,-3.662,-2.625,169.75,52.597,67.758,sitting
-0.787,0.092,-0.61,-1.343,-4.395,-0.061,169.739,52.641,67.769,sitting
-0.784,0.092,-0.61,-1.343,-4.395,-0.061,169.722,52.685,67.758,sitting
-0.784,0.084,-0.593,0.061,-3.845,1.038,169.706,52.723,67.742,sitting
-0.813,0.084,-0.593,0.061,-3.845,1.038,169.695,52.756,67.714,sitting
-0.813,0.083,-0.602,2.075,-4.578,1.648,169.684,52.795,67.681,sitting
-0.824,0.083,-0.602,2.075,-4.578,1.648,169.684,52.839,67.637,sitting
-0.824,0.083,-0.601,3.357,-7.629,2.686,169.678,52.894,67.588,sitting
-0.809,0.083,-0.601,3.357,-7.629,2.686,169.667,52.96,67.522,sitting
-0.809,0.087,-0.569,3.113,-8.545,3.052,169.651,53.036,67.451,sitting
-0.812,0.087,-0.569,3.113,-8.545,3.052,169.634,53.113,67.379,sitting
-0.812,0.095,-0.554,2.014,-5.859,1.831,169.623,53.179,67.313,sitting
-0.812,0.095,-0.554,2.014,-5.859,1.831,169.612,53.234,67.269,sitting
-0.819,0.095,-0.554,2.014,-5.859,1.831,169.601,53.295,67.22,sitting
-0.819,0.096,-0.553,1.404,-4.333,0.488,169.612,53.339,67.203,sitting
-0.81,0.096,-0.553,1.404,-4.333,0.488,169.612,53.383,67.181,sitting
-0.81,0.084,-0.561,1.709,-4.028,-0.366,169.634,53.427,67.176,sitting
-0.804,0.084,-0.561,1.709,-4.028,-0.366,169.656,53.47,67.17,sitting
-0.804,0.079,-0.571,2.258,-3.418,0.305,169.673,53.509,67.154,sitting
-0.827,0.079,-0.571,2.258,-3.418,0.305,169.695,53.547,67.143,sitting
-0.827,0.09,-0.583,1.709,-3.235,0.732,169.7,53.58,67.121,sitting
-0.827,0.09,-0.583,1.709,-3.235,0.732,169.711,53.613,67.099,sitting
-0.827,0.101,-0.579,0.977,-4.639,-0.488,169.728,53.668,67.094,sitting
-0.796,0.101,-0.579,0.977,-4.639,-0.488,169.739,53.718,67.088,sitting
-0.796,0.107,-0.57,0.244,-2.808,-2.014,169.766,53.751,67.115,sitting
-0.794,0.107,-0.57,0.244,-2.808,-2.014,169.794,53.784,67.143,sitting
-0.794,0.109,-0.573,-1.099,0.488,-1.587,169.81,53.784,67.17,sitting
-0.807,0.109,-0.573,-1.099,0.488,-1.587,169.827,53.789,67.198,sitting
-0.807,0.109,-0.574,-2.808,0.671,-0.061,169.805,53.784,67.203,sitting
-0.799,0.109,-0.574,-2.808,0.671,-0.061,169.783,53.778,67.209,sitting
-0.799,0.103,-0.57,-4.028,-0.244,-0.488,169.75,53.784,67.214,sitting
-0.777,0.103,-0.57,-4.028,-0.244,-0.488,169.717,53.789,67.225,sitting
-0.777,0.102,-0.566,-3.54,1.038,-0.244,169.689,53.784,67.231,sitting
-0.799,0.102,-0.566,-3.54,1.038,-0.244,169.662,53.773,67.242,sitting
-0.799,0.096,-0.585,-1.648,2.869,1.343,169.64,53.745,67.225,sitting
-0.836,0.096,-0.585,-1.648,2.869,1.343,169.618,53.712,67.214,sitting
-0.836,0.084,-0.601,0.488,0.61,2.563,169.59,53.707,67.176,sitting
-0.844,0.084,-0.601,0.488,0.61,2.563,169.568,53.696,67.137,sitting
-0.844,0.083,-0.593,1.77,-3.052,2.93,169.547,53.723,67.077,sitting
-0.811,0.083,-0.593,1.77,-3.052,2.93,169.525,53.751,67.022,sitting
-0.811,0.087,-0.566,1.648,-3.967,2.258,169.508,53.784,66.973,sitting
-0.798,0.087,-0.566,1.648,-3.967,2.258,169.492,53.822,66.923,sitting
-0.798,0.087,-0.546,1.953,-0.244,1.587,169.503,53.822,66.896,sitting
-0.819,0.087,-0.546,1.953,-0.244,1.587,169.508,53.828,66.868,sitting
-0.819,0.093,-0.548,2.808,2.258,1.282,169.53,53.806,66.857,sitting
