ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,label
-0.585,-0.112,-0.457,-6.531,-37.354,-18.005,162.867,30.026,-164.471,walking
-0.176,-0.112,-0.457,-6.531,-37.354,-18.005,162.823,30.432,-164.41,walking
-0.176,-0.033,-0.381,14.526,-21.118,-3.418,162.872,30.745,-164.399,walking
-0.178,-0.033,-0.381,14.526,-21.118,-3.418,163.004,30.954,-164.443,walking
-0.178,0.217,-0.3,16.663,33.386,0.183,163.185,30.899,-164.416,walking
-0.345,0.217,-0.3,16.663,33.386,0.183,163.405,30.58,-164.312,walking
-0.345,0.397,-0.427,8.423,61.829,-2.563,163.608,30.125,-164.152,walking
-0.256,0.397,-0.427,8.423,61.829,-2.563,163.779,29.548,-163.932,walking
-0.256,0.465,-0.871,-13.977,93.323,-16.541,163.889,28.834,-163.586,walking
-0.402,0.465,-0.871,-13.977,93.323,-16.541,163.932,27.982,-163.12,walking
-0.402,0.516,-1.124,-59.509,114.929,-47.424,163.828,27.07,-162.455,walking
-0.646,0.516,-1.124,-59.509,114.929,-47.424,163.575,26.093,-161.592,walking
-0.646,0.568,-0.954,-87.158,83.374,-69.641,163.202,25.302,-160.664,walking
-0.479,0.568,-0.954,-87.158,83.374,-69.641,162.708,24.714,-159.664,walking
-0.479,0.585,-1.04,-109.497,42.664,-82.947,162.092,24.351,-158.659,walking
-0.362,0.585,-1.04,-109.497,42.664,-82.947,161.367,24.208,-157.654,walking
-0.362,0.586,-1.297,-109.68,28.198,-77.759,160.62,24.142,-156.698,walking
-0.399,0.586,-1.297,-109.68,28.198,-77.759,159.857,24.131,-155.797,walking
-0.399,0.333,-1.183,-73.12,20.264,-64.331,159.247,24.142,-154.979,walking
-0.366,0.333,-1.183,-73.12,20.264,-64.331,158.796,24.17,-154.248,walking
-0.366,0.08,-1.065,-32.227,6.348,-69.336,158.56,24.269,-153.517,walking
-0.37,0.08,-1.065,-32.227,6.348,-69.336,158.544,24.445,-152.787,walking
-0.37,0.061,-1.033,6.409,4.456,-73.853,158.736,24.637,-152.034,walking
-0.388,0.061,-1.033,6.409,4.456,-73.853,159.142,24.835,-151.265,walking
-0.388,0.165,-1.053,31.128,12.512,-62.866,159.664,24.972,-150.529,walking
-0.458,0.165,-1.053,31.128,12.512,-62.866,160.296,25.043,-149.832,walking
-0.458,0.175,-1.033,40.039,31.677,-50.049,160.961,24.999,-149.167,walking
-0.608,0.175,-1.033,40.039,31.677,-50.049,161.647,24.84,-148.535,walking
-0.608,0.132,-0.898,36.682,37.903,-37.109,162.296,24.626,-147.969,walking
-0.668,0.132,-0.898,36.682,37.903,-37.109,162.894,24.362,-147.458,walking
-0.668,0.106,-0.732,29.48,16.968,-13.306,163.394,24.175,-147.112,walking
-0.609,0.106,-0.732,29.48,16.968,-13.306,163.784,24.055,-146.926,walking
-0.609,0.101,-0.573,19.836,-7.996,12.39,164.059,24.033,-146.909,walking
-0.469,0.101,-0.573,19.836,-7.996,12.39,164.218,24.104,-147.074,walking
-0.469,0.168,-0.482,8.362,-24.597,29.785,164.268,24.236,-147.349,walking
-0.279,0.168,-0.482,8.362,-24.597,29.785,164.207,24.434,-147.744,walking
-0.279,0.279,-0.551,-11.108,-23.682,37.537,164.031,24.615,-148.178,walking
-0.051,0.279,-0.551,-11.108,-23.682,37.537,163.735,24.774,-148.651,walking
-0.051,0.401,-0.902,-39.307,8.362,44.556,163.295,24.763,-149.117,walking
-0.145,0.401,-0.902,-39.307,8.362,44.556,162.724,24.565,-149.562,walking
-0.145,0.436,-1.183,-51.819,67.078,46.143,162.125,24.071,-149.919,walking
-0.62,0.436,-1.183,-51.819,67.078,46.143,161.51,23.28,-150.172,walking
-0.62,0.25,-1.02,-23.804,99.426,40.1,161.082,22.346,-150.331,walking
-0.872,0.25,-1.02,-23.804,99.426,40.1,160.834,21.281,-150.397,walking
-0.872,-0.004,-0.656,19.653,63.538,42.175,160.779,20.391,-150.529,walking
-0.688,-0.004,-0.656,19.653,63.538,42.175,160.928,19.693,-150.738,walking
-0.688,-0.015,-0.611,56.702,17.822,51.636,161.23,19.221,-151.078,walking
-0.405,-0.015,-0.611,56.702,17.822,51.636,161.675,18.957,-151.545,walking
-0.405,0.146,-0.836,79.712,0.305,57.8,162.224,18.781,-152.078,walking
-0.284,0.146,-0.836,79.712,0.305,57.8,162.867,18.682,-152.672,walking
-0.284,0.301,-1.032,84.717,7.385,50.232,163.542,18.561,-153.215,walking
-0.284,0.301,-1.032,84.717,7.385,50.232,164.257,18.413,-153.715,walking
-0.33,0.301,-1.032,84.717,7.385,50.232,164.965,18.265,-154.21,walking
-0.33,0.45,-1.105,70.679,14.465,38.574,165.564,18.073,-154.572,walking
-0.563,0.45,-1.105,70.679,14.465,38.574,166.157,17.88,-154.94,walking
-0.563,0.573,-1.0,57.373,2.563,49.927,166.558,17.781,-155.451,walking
-0.549,0.573,-1.0,57.373,2.563,49.927,166.948,17.682,-155.962,walking
-0.549,0.57,-1.001,40.588,-35.034,62.012,167.097,17.93,-156.687,walking
-0.276,0.57,-1.001,40.588,-35.034,62.012,167.239,18.177,-157.407,walking
-0.276,0.589,-1.106,17.7,-62.5,48.157,167.162,18.715,-158.055,walking
-0.056,0.589,-1.106,17.7,-62.5,48.157,167.075,19.237,-158.708,walking
-0.056,0.592,-1.03,-6.47,-67.017,20.386,166.827,19.852,-159.088,walking
0.099,0.592,-1.03,-6.47,-67.017,20.386,166.569,20.451,-159.478,walking
0.099,0.487,-0.899,-32.288,-48.096,-11.719,166.179,20.929,-159.494,walking
0.067,0.487,-0.899,-32.288,-48.096,-11.719,165.795,21.385,-159.51,walking
0.067,0.333,-0.837,-55.298,-12.268,-36.011,165.3,21.55,-159.186,walking
-0.247,0.333,-0.837,-55.298,-12.268,-36.011,164.817,21.703,-158.868,walking
-0.247,0.232,-0.745,-66.345,14.526,-43.274,164.284,21.621,-158.395,walking
-0.553,0.232,-0.745,-66.345,14.526,-43.274,163.751,21.55,-157.917,walking
-0.553,0.188,-0.642,-67.566,13.489,-32.532,163.174,21.467,-157.56,walking
-0.614,0.188,-0.642,-67.566,13.489,-32.532,162.603,21.407,-157.198,walking
-0.614,0.16,-0.591,-57.312,-2.075,-11.536,162.048,21.445,-157.099,walking
-0.498,0.16,-0.591,-57.312,-2.075,-11.536,161.499,21.5,-157.006,walking
-0.498,0.289,-0.732,-40.1,-8.423,30.518,160.955,21.489,-157.357,walking
-0.394,0.289,-0.732,-40.1,-8.423,30.518,160.417,21.478,-157.709,walking
-0.394,0.382,-1.088,-25.635,13.123,59.631,159.955,21.165,-158.275,walking
-0.406,0.382,-1.088,-25.635,13.123,59.631,159.5,20.847,-158.84,walking
-0.406,0.27,-1.222,-18.066,35.645,28.564,159.269,20.418,-159.005,walking
-0.309,0.27,-1.222,-18.066,35.645,28.564,159.044,19.995,-159.164,walking
-0.309,0.182,-1.056,-18.921,43.579,-8.057,158.956,19.622,-158.934,walking
-0.247,0.182,-1.056,-18.921,43.579,-8.057,158.873,19.254,-158.703,walking
-0.247,0.221,-0.981,-30.823,52.429,-26.672,158.741,18.864,-158.253,walking
-0.256,0.221,-0.981,-30.823,52.429,-26.672,158.615,18.479,-157.802,walking
